0.349609,-122
0.350586,-120
0.351562,-122
0.352539,-122
0.353516,-123
0.354492,-118
0.355469,-103
0.356445,-93
0.357422,-79
0.358398,-79
0.359375,-71
0.360352,-67
0.361328,-71
0.362305,-64
0.363281,-60
0.364258,-69
0.365234,-71
0.366211,-81
0.367188,-83
0.368164,-91
0.369141,-93
0.370117,-105
0.371094,-110
0.372070,-117
0.373047,-120
0.374023,-127
0.375000,127
0.375977,123
0.376953,120
0.377930,117
0.378906,118
0.379883,111
0.380859,108
0.381836,110
0.382812,110
0.383789,108
0.384766,111
0.385742,111
0.386719,115
0.387695,117
0.388672,123
0.389648,123
0.390625,118
0.391602,122
0.392578,123
0.393555,122
0.394531,122
0.395508,122
0.396484,122
0.397461,120
0.398438,120
0.399414,122
0.400391,127
0.401367,-127
0.402344,-125
0.403320,-128
0.404297,-128
0.405273,-125
0.406250,-98
0.407227,-79
0.408203,-118
0.409180,42
0.410156,20
0.411133,60
0.412109,52
0.413086,26
0.414062,55
0.415039,77
0.416016,89
0.416992,101
0.417969,120
0.418945,-120
0.419922,-108
0.420898,-98
0.421875,-86
0.422852,-81
0.423828,-77
0.424805,-72
0.425781,-66
0.426758,-69
0.427734,-74
0.428711,-77
0.429688,-77
0.430664,-81
0.431641,-86
0.432617,-91
0.433594,-105
0.434570,-108
0.435547,-113
0.436523,-120
0.437500,-123
0.438477,-128
0.439453,120
0.440430,117
0.441406,117
0.442383,113
0.443359,111
0.444336,113
0.445312,110
0.446289,108
0.447266,111
0.448242,113
0.449219,115
0.450195,111
0.451172,115
0.452148,115
0.453125,120
0.454102,118
0.455078,120
0.456055,113
0.457031,117
0.458008,123
0.458984,-127
0.459961,117
0.460938,91
0.461914,-125
0.462891,-89
0.463867,110
0.464844,-118
0.465820,-117
0.466797,120
0.467773,120
0.468750,-123
0.469727,-118
0.470703,-118
0.471680,-74
0.472656,-94
0.473633,74
0.474609,20
0.475586,60
0.476562,79
0.477539,30
0.478516,25
0.479492,33
0.480469,38
0.481445,42
0.482422,50
0.483398,71
0.484375,94
0.485352,111
0.486328,122
0.487305,115
0.488281,123
0.489258,-122
0.490234,-105
0.491211,-93
0.492188,-83
0.493164,-71
0.494141,-60
0.495117,-60
0.496094,-52
0.497070,-50
0.498047,-49
0.499023,-47
0.500000,-50
0.500977,-57
0.501953,-64
0.502930,-69
0.503906,-72
0.504883,-83
0.505859,-88
0.506836,-100
0.507812,-101
0.508789,-111
0.509766,-120
0.510742,-127
0.511719,125
0.512695,122
0.513672,117
0.514648,108
0.515625,108
0.516602,103
0.517578,105
0.518555,106
0.519531,106
0.520508,101
0.521484,105
0.522461,106
0.523438,108
0.524414,113
0.525391,117
0.526367,117
0.527344,117
0.528320,118
0.529297,120
0.530273,120
0.531250,122
0.532227,122
0.533203,127
0.534180,120
0.535156,123
0.536133,127
0.537109,-128
0.538086,-127
0.539062,-122
0.540039,-128
0.541016,-127
0.541992,-127
0.542969,-100
0.543945,-76
0.544922,-113
0.545898,38
0.546875,18
0.547852,60
0.548828,47
0.549805,25
0.550781,57
0.551758,74
0.552734,88
0.553711,98
0.554688,122
0.555664,-122
0.556641,-110
0.557617,-96
0.558594,-86
0.559570,-83
0.560547,-74
0.561523,-72
0.562500,-64
0.563477,-69
0.564453,-64
0.565430,-67
0.566406,-77
0.567383,-86
0.568359,-89
0.569336,-91
0.570312,-96
0.571289,-106
0.572266,-113
0.573242,-120
0.574219,-125
0.575195,-128
0.576172,123
0.577148,117
0.578125,120
0.579102,115
0.580078,111
0.581055,110
0.582031,108
0.583008,106
0.583984,108
0.584961,110
0.585938,108
0.586914,110
0.587891,111
0.588867,117
0.589844,118
0.590820,122
0.591797,120
0.592773,113
0.593750,115
0.594727,122
0.595703,-128
0.596680,120
0.597656,91
0.598633,-128
0.599609,-88
0.600586,108
0.601562,-111
0.602539,-115
0.603516,118
0.604492,115
0.605469,-125
0.606445,-122
0.607422,-118
0.608398,-77
0.609375,-93
0.610352,79
0.611328,20
0.612305,59
